conversion,germline,ratio,avg_960_to_1010,avg_110_to_160,
0.3,0.4,0.1,,0.621575137,0.621575137
0.3,0.45,0.1,,0.650876534,0.650876534
0.3,0.5,0.1,,0.695614501,0.695614501
0.3,0.55,0.1,,0.722866639,0.722866639
0.3,0.6,0.1,,0.746059432,0.746059432
0.3,0.65,0.1,,0.429734311,0.429734311
0.3,0.7,0.1,,0.302766377,0.302766377
0.3,0.75,0.1,,0.290058838,0.290058838
0.3,0.8,0.1,,0.258850468,0.258850468
0.3,0.85,0.1,,0.26428618,0.26428618
0.3,0.9,0.1,,0.255262251,0.255262251
0.3,0.95,0.1,,0.257756121,0.257756121
0.3,1,0.1,,0.252553856,0.252553856
0.35,0,0.6,0.422822885,,0.422822885
0.35,0.05,0.6,0.430925221,,0.430925221
0.35,0.1,0.6,0.457609538,,0.457609538
0.35,0.15,0.6,0.501999357,,0.501999357
0.35,0.2,0.6,0.554997287,,0.554997287
0.35,0.25,0.6,0.57319256,,0.57319256
0.35,0.3,0.1,,0.600380475,0.600380475
0.35,0.35,0.1,,0.617330066,0.617330066
0.35,0.4,0.1,,0.647640343,0.647640343
0.35,0.45,0.1,,0.686728726,0.686728726
0.35,0.5,0.1,,0.712120965,0.712120965
0.35,0.55,0.1,,0.739168348,0.739168348
0.35,0.6,0.1,,0.770944688,0.770944688
0.35,0.65,0.1,,0.792732486,0.792732486
0.35,0.7,0.1,,0.455644238,0.455644238
0.35,0.75,0.1,,0.373543239,0.373543239
0.35,0.8,0.1,,0.317130538,0.317130538
0.35,0.85,0.1,,0.30286322,0.30286322
0.35,0.9,0.1,,0.305661636,0.305661636
0.35,0.95,0.1,,0.279143652,0.279143652
0.35,1,0.1,,0.267272841,0.267272841
0.4,0,0.6,0.457268213,,0.457268213
0.4,0.05,0.6,0.471717825,,0.471717825
0.4,0.1,0.6,0.524401368,,0.524401368
0.4,0.15,0.6,0.56124471,,0.56124471
0.4,0.2,0.6,0.569493933,,0.569493933
0.4,0.25,0.6,0.607497003,,0.607497003
0.4,0.3,0.1,,0.620568847,0.620568847
0.4,0.35,0.1,,0.647921394,0.647921394
0.4,0.4,0.1,,0.682651331,0.682651331
0.4,0.45,0.1,,0.706194431,0.706194431
0.4,0.5,0.1,,0.731599763,0.731599763
0.4,0.55,0.1,,0.761691677,0.761691677
0.4,0.6,0.1,,0.785772561,0.785772561
0.4,0.65,0.1,,0.814506538,0.814506538
0.4,0.7,0.1,,0.792981917,0.792981917
0.4,0.75,0.1,,0.472812003,0.472812003
0.4,0.8,0.1,,0.433220659,0.433220659
0.4,0.85,0.1,,0.384354844,0.384354844
0.4,0.9,0.1,,0.354866924,0.354866924
0.4,0.95,0.1,,0.326233494,0.326233494
0.4,1,0.1,,0.307465535,0.307465535
0.45,0,0.6,0.506831041,,0.506831041
0.45,0.05,0.6,0.552494014,,0.552494014
0.45,0.1,0.6,0.567274823,,0.567274823
0.45,0.15,0.6,0.585623629,,0.585623629
0.45,0.2,0.6,0.617369216,,0.617369216
0.45,0.25,0.6,0.63018521,,0.63018521
0.45,0.3,0.1,,0.65089004,0.65089004
0.45,0.35,0.1,,0.685978116,0.685978116
0.45,0.4,0.1,,0.706035543,0.706035543
0.45,0.45,0.1,,0.728682359,0.728682359
0.45,0.5,0.1,,0.753549818,0.753549818
0.45,0.55,0.1,,0.781021236,0.781021236
0.45,0.6,0.1,,0.803389768,0.803389768
0.45,0.65,0.1,,0.828108884,0.828108884
0.45,0.7,0.1,,0.852786494,0.852786494
0.45,0.75,0.1,,0.607658286,0.607658286
0.45,0.8,0.1,,0.502316876,0.502316876
0.45,0.85,0.1,,0.447721176,0.447721176
0.45,0.9,0.1,,0.428732498,0.428732498
0.45,0.95,0.1,,0.424956655,0.424956655
0.45,1,0.1,,0.39778571,0.39778571
0.5,0,0.6,0.562620162,,0.562620162
0.5,0.05,0.6,0.574797343,,0.574797343
0.5,0.1,0.6,0.607405516,,0.607405516
0.5,0.15,0.6,0.613401153,,0.613401153
0.5,0.2,0.6,0.644925408,,0.644925408
0.5,0.25,0.6,0.657968242,,0.657968242
0.5,0.3,0.1,,0.695496453,0.695496453
0.5,0.35,0.1,,0.712464798,0.712464798
0.5,0.4,0.1,,0.731688944,0.731688944
0.5,0.45,0.1,,0.754196861,0.754196861
0.5,0.5,0.1,,0.778870677,0.778870677
0.5,0.55,0.1,,0.798104636,0.798104636
0.5,0.6,0.1,,0.822470046,0.822470046
0.5,0.65,0.1,,0.845019184,0.845019184
0.5,0.7,0.1,,0.866959427,0.866959427
0.5,0.75,0.1,,0.808124224,0.808124224
0.5,0.8,0.1,,0.590639147,0.590639147
0.5,0.85,0.1,,0.515342426,0.515342426
0.5,0.9,0.1,,0.49765782,0.49765782
0.5,0.95,0.1,,0.465090234,0.465090234
0.5,1,0.1,,0.439512487,0.439512487
