conversion,germline,ratio,avg_960_to_1010,avg_110_to_160,
0.3,0.8,0.1,,0.874275328,0.874275328
0.3,0.85,0.1,,0.875259595,0.875259595
0.3,0.9,0.1,,0.824161992,0.824161992
0.3,0.95,0.1,,0.844226724,0.844226724
0.3,1,0.1,,1,1
0.35,0,0.6,0.422590704,,0.422590704
0.35,0.05,0.6,0.4317754,,0.4317754
0.35,0.1,0.6,0.457953211,,0.457953211
0.35,0.15,0.6,0.502164298,,0.502164298
0.35,0.2,0.6,0.555173008,,0.555173008
0.35,0.25,0.6,0.573043666,,0.573043666
0.35,0.3,0.1,,0.600342499,0.600342499
0.35,0.35,0.1,,0.617352468,0.617352468
0.35,0.4,0.1,,0.647854664,0.647854664
0.35,0.45,0.1,,0.686586421,0.686586421
0.35,0.5,0.1,,0.712318453,0.712318453
0.35,0.55,0.1,,0.739249585,0.739249585
0.35,0.6,0.1,,0.770888974,0.770888974
0.35,0.65,0.1,,0.796301948,0.796301948
0.35,0.7,0.1,,0.826230414,0.826230414
0.35,0.75,0.1,,0.854773185,0.854773185
0.35,0.8,0.1,,0.884566768,0.884566768
0.35,0.85,0.1,,0.913369107,0.913369107
0.35,0.9,0.1,,0.941916782,0.941916782
0.35,0.95,0.1,,0.963465339,0.963465339
0.35,1,0.1,,1,1
0.4,0,0.6,0.4575732,,0.4575732
0.4,0.05,0.6,0.472112444,,0.472112444
0.4,0.1,0.6,0.524532822,,0.524532822
0.4,0.15,0.6,0.560993967,,0.560993967
0.4,0.2,0.6,0.569838927,,0.569838927
0.4,0.25,0.6,0.606900661,,0.606900661
0.4,0.3,0.1,,0.620883257,0.620883257
0.4,0.35,0.1,,0.647661604,0.647661604
0.4,0.4,0.1,,0.682592144,0.682592144
0.4,0.45,0.1,,0.706188634,0.706188634
0.4,0.5,0.1,,0.731540721,0.731540721
0.4,0.55,0.1,,0.761588066,0.761588066
0.4,0.6,0.1,,0.785745194,0.785745194
0.4,0.65,0.1,,0.814510904,0.814510904
0.4,0.7,0.1,,0.840328225,0.840328225
0.4,0.75,0.1,,0.866815594,0.866815594
0.4,0.8,0.1,,0.893116141,0.893116141
0.4,0.85,0.1,,0.91994925,0.91994925
0.4,0.9,0.1,,0.946509204,0.946509204
0.4,0.95,0.1,,0.973188335,0.973188335
0.4,1,0.1,,1,1
0.45,0,0.6,0.5064668,,0.5064668
0.45,0.05,0.6,0.552260605,,0.552260605
0.45,0.1,0.6,0.567604954,,0.567604954
0.45,0.15,0.6,0.585296743,,0.585296743
0.45,0.2,0.6,0.616469098,,0.616469098
0.45,0.25,0.6,0.630067608,,0.630067608
0.45,0.3,0.1,,0.651015828,0.651015828
0.45,0.35,0.1,,0.687064687,0.687064687
0.45,0.4,0.1,,0.706309786,0.706309786
0.45,0.45,0.1,,0.728128754,0.728128754
0.45,0.5,0.1,,0.753532064,0.753532064
0.45,0.55,0.1,,0.7811897,0.7811897
0.45,0.6,0.1,,0.802970759,0.802970759
0.45,0.65,0.1,,0.82793607,0.82793607
0.45,0.7,0.1,,0.85308124,0.85308124
0.45,0.75,0.1,,0.87772866,0.87772866
0.45,0.8,0.1,,0.902280295,0.902280295
0.45,0.85,0.1,,0.926594079,0.926594079
0.45,0.9,0.1,,0.951051645,0.951051645
0.45,0.95,0.1,,0.975640314,0.975640314
0.45,1,0.1,,1,1
0.5,0,0.6,0.562842348,,0.562842348
0.5,0.05,0.6,0.5742983,,0.5742983
0.5,0.1,0.6,0.607532053,,0.607532053
0.5,0.15,0.6,0.612649274,,0.612649274
0.5,0.2,0.6,0.644919225,,0.644919225
0.5,0.25,0.6,0.65831809,,0.65831809
0.5,0.3,0.1,,0.695476041,0.695476041
0.5,0.35,0.1,,0.712374928,0.712374928
0.5,0.4,0.1,,0.731679736,0.731679736
0.5,0.45,0.1,,0.753832308,0.753832308
0.5,0.5,0.1,,0.778472627,0.778472627
0.5,0.55,0.1,,0.798194315,0.798194315
0.5,0.6,0.1,,0.822538317,0.822538317
0.5,0.65,0.1,,0.84513942,0.84513942
0.5,0.7,0.1,,0.866713917,0.866713917
0.5,0.75,0.1,,0.88877082,0.88877082
0.5,0.8,0.1,,0.911179127,0.911179127
0.5,0.85,0.1,,0.933207812,0.933207812
0.5,0.9,0.1,,0.95545582,0.95545582
0.5,0.95,0.1,,0.977766945,0.977766945
0.5,1,0.1,,1,1
0.55,0,0.6,0.607815344,,0.607815344
0.55,0.05,0.6,0.609552204,,0.609552204
0.55,0.1,0.6,0.640895732,,0.640895732
0.55,0.15,0.6,0.651884045,,0.651884045
0.55,0.2,0.6,0.682420109,,0.682420109
0.55,0.25,0.6,0.702025667,,0.702025667
0.55,0.3,0.1,,0.722521533,0.722521533
0.55,0.35,0.1,,0.739325266,0.739325266
0.55,0.4,0.1,,0.761554065,0.761554065
0.55,0.45,0.1,,0.781098372,0.781098372
0.55,0.5,0.1,,0.798137613,0.798137613
0.55,0.55,0.1,,0.820567997,0.820567997
0.55,0.6,0.1,,0.840471328,0.840471328
0.55,0.65,0.1,,0.859434373,0.859434373
