conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0,0,0.6,0,
0,0.05,0.6,0,
0,0.1,0.6,0,
0,0.15,0.6,0,
0,0.2,0.6,0,
0,0.25,0.6,0,
0,0.3,0.6,0,
0,0.35,0.6,0,
0,0.4,0.6,0,
0,0.45,0.6,0,
0,0.5,0.6,0,
0,0.55,0.6,0,
0,0.6,0.6,0,
0,0.65,0.6,0,
0,0.7,0.6,0,
0,0.75,0.6,0,
0,0.8,0.6,0,
0,0.85,0.6,0,
0,0.9,0.6,0,
0,0.95,0.6,0,
0,1,0.6,0,
0.05,0,0.6,0.000606906,
0.05,0.05,0.6,0.003104143,
0.05,0.1,0.6,0.004850536,
0.05,0.15,0.6,0.006234637,
0.05,0.2,0.6,0.006719274,
0.05,0.25,0.6,0.010747838,
0.05,0.3,0.6,0.010289639,
0.05,0.35,0.6,0.00877638,
0.05,0.4,0.6,0.011316805,
0.05,0.45,0.6,0.013755419,
0.05,0.5,0.6,0.016905428,
0.05,0.55,0.6,0.027686753,
0.05,0.6,0.6,0.026313904,
0.05,0.65,0.6,0.034508441,
0.05,0.7,0.6,0.044993913,
0.05,0.75,0.6,0.048368523,
0.05,0.8,0.6,0.063299577,
0.05,0.85,0.6,0.086186098,
0.05,0.9,0.6,0.132222087,
0.05,0.95,0.6,0.181055414,
0.05,1,0.6,0.827065576,
0.1,0,0.6,0.045223337,
0.1,0.05,0.6,0.058336547,
0.1,0.1,0.6,0.07151474,
0.1,0.15,0.6,0.08419635,
0.1,0.2,0.6,0.101203853,
0.1,0.25,0.6,0.120052914,
0.1,0.3,0.6,0.133846757,
0.1,0.35,0.6,0.15044732,
0.1,0.4,0.6,0.161736686,
0.1,0.45,0.6,0.1665644,
0.1,0.5,0.6,0.177694467,
0.1,0.55,0.6,0.170846867,
0.1,0.6,0.6,0.201222871,
0.1,0.65,0.6,0.20347642,
0.1,0.7,0.6,0.225291082,
0.1,0.75,0.6,0.293443378,
0.1,0.8,0.6,0.322950455,
0.1,0.85,0.6,0.418820653,
0.1,0.9,0.6,0.542026547,
0.1,0.95,0.6,0.710522929,
0.1,1,0.6,1,
