conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0.35,0.4,0.1,0.378686376,
0.35,0.45,0.1,0.42811569,
0.35,0.5,0.1,0.43932084,
0.35,0.55,0.1,0.497500121,
0.35,0.6,0.1,0.548982863,
0.35,0.65,0.1,0.589664484,
0.35,0.7,0.1,0.630479807,
0.35,0.75,0.1,0.685594203,
0.35,0.8,0.1,0.730306977,
0.35,0.85,0.1,0.787288614,
0.35,0.9,0.1,0.857977023,
0.35,0.95,0.1,0.924653899,
0.35,1,0.1,1,
0.4,0,0.6,0.210333441,
0.4,0.05,0.6,0.244687173,
0.4,0.1,0.6,0.285372439,
0.4,0.15,0.6,0.312782588,
0.4,0.2,0.6,0.361550678,
0.4,0.25,0.6,0.308910902,
0.4,0.3,0.1,0.364811102,
0.4,0.35,0.1,0.408012737,
0.4,0.4,0.1,0.419702843,
0.4,0.45,0.1,0.448163871,
0.4,0.5,0.1,0.513246145,
0.4,0.55,0.1,0.554391941,
0.4,0.6,0.1,0.587907133,
0.4,0.65,0.1,0.620897569,
0.4,0.7,0.1,0.672615482,
0.4,0.75,0.1,0.71557911,
0.4,0.8,0.1,0.770035675,
0.4,0.85,0.1,0.818066071,
0.4,0.9,0.1,0.872624286,
0.4,0.95,0.1,0.94228838,
0.4,1,0.1,1,
0.45,0,0.6,0.286008376,
0.45,0.05,0.6,0.308695343,
0.45,0.1,0.6,0.352409559,
0.45,0.15,0.6,0.301641346,
0.45,0.2,0.6,0.345873618,
0.45,0.25,0.6,0.386654278,
0.45,0.3,0.1,0.429672592,
0.45,0.35,0.1,0.438877039,
0.45,0.4,0.1,0.467404621,
0.45,0.45,0.1,0.530477003,
0.45,0.5,0.1,0.556440876,
0.45,0.55,0.1,0.594523631,
0.45,0.6,0.1,0.620077853,
0.45,0.65,0.1,0.656323111,
0.45,0.7,0.1,0.705406693,
0.45,0.75,0.1,0.74431152,
0.45,0.8,0.1,0.791497722,
0.45,0.85,0.1,0.842149049,
0.45,0.9,0.1,0.886917912,
0.45,0.95,0.1,0.943820428,
0.45,1,0.1,1,
0.5,0,0.6,0.353989271,
0.5,0.05,0.6,0.304449412,
0.5,0.1,0.6,0.337843255,
0.5,0.15,0.6,0.376766794,
0.5,0.2,0.6,0.421814376,
0.5,0.25,0.6,0.42613898,
0.5,0.3,0.1,0.44593183,
0.5,0.35,0.1,0.496475928,
0.5,0.4,0.1,0.544217255,
0.5,0.45,0.1,0.559401905,
0.5,0.5,0.1,0.599809098,
0.5,0.55,0.1,0.624156928,
0.5,0.6,0.1,0.656076964,
0.5,0.65,0.1,0.699417863,
0.5,0.7,0.1,0.733422402,
0.5,0.75,0.1,0.774460183,
0.5,0.8,0.1,0.814627696,
0.5,0.85,0.1,0.857489163,
0.5,0.9,0.1,0.907370565,
0.5,0.95,0.1,0.959923614,
0.5,1,0.1,1,
