conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0,0,0.6,0,
0,0.05,0.6,0,
0,0.1,0.6,0,
0,0.15,0.6,0,
0,0.2,0.6,0,
0,0.25,0.6,0,
0,0.3,0.6,0,
0,0.35,0.6,0,
0,0.4,0.6,0,
0,0.45,0.6,0,
0,0.5,0.6,0,
0,0.55,0.6,0,
0,0.6,0.6,0,
0,0.65,0.6,0,
0,0.7,0.6,0,
0,0.75,0.6,0,
0,0.8,0.6,0,
0,0.85,0.6,0,
0,0.9,0.6,0,
0,0.95,0.6,0,
0,1,0.6,0,
0.05,0,0.6,0.002584132,
0.05,0.05,0.6,0.002153371,
0.05,0.1,0.6,0.004385898,
0.05,0.15,0.6,0.004686169,
0.05,0.2,0.6,0.007881224,
0.05,0.25,0.6,0.006917401,
0.05,0.3,0.6,0.007017437,
0.05,0.35,0.6,0.011941777,
0.05,0.4,0.6,0.012113084,
0.05,0.45,0.6,0.015210188,
0.05,0.5,0.6,0.01861637,
0.05,0.55,0.6,0.01931725,
0.05,0.6,0.6,0.025362831,
0.05,0.65,0.6,0.029339725,
0.05,0.7,0.6,0.044149237,
0.05,0.75,0.6,0.04690651,
0.05,0.8,0.6,0.075066346,
0.05,0.85,0.6,0.082077688,
0.05,0.9,0.6,0.139219356,
0.05,0.95,0.6,0.179971906,
0.05,1,0.6,0.876805627,
0.1,0,0.6,0.046469045,
0.1,0.05,0.6,0.058708425,
0.1,0.1,0.6,0.071712753,
0.1,0.15,0.6,0.084530483,
0.1,0.2,0.6,0.102007474,
0.1,0.25,0.6,0.115793642,
0.1,0.3,0.6,0.133967659,
0.1,0.35,0.6,0.151643327,
0.1,0.4,0.6,0.160046871,
0.1,0.45,0.6,0.16925499,
0.1,0.5,0.6,0.182660818,
0.1,0.55,0.6,0.166169625,
0.1,0.6,0.6,0.201232924,
0.1,0.65,0.6,0.206793459,
0.1,0.7,0.6,0.233358278,
0.1,0.75,0.6,0.297128051,
0.1,0.8,0.6,0.327652533,
0.1,0.85,0.6,0.417218527,
0.1,0.9,0.6,0.539496539,
0.1,0.95,0.6,0.708662792,
0.1,1,0.6,1,
