 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29967.45226,10683.19598,4177.984925,2228.517588,1662.170854,1398.291457,1207.944724,1045.477387,911.7386935,792.4874372,695.4170854,608.0351759,4556.190955,0.0,0.0,0.0,-29,48803.90452,21152.56281,8682.276382,5246.366834,4347.462312,3975.226131,3686.145729,1713.864322,0,0.0,0.0,0.0,78771.35678,1.0,0.0,1.0,0.0,,,,,,,,,4926806132.511983,2877225115.9565096,,2956083679.5071898,5833308795.463699,,4926806132.511983,2956083679.5071898,2877225115.9565096,5833308795.463699,
,30515.06533,11487.57789,3902.165829,2295.256281,1680.899497,1388.693467,1196.457286,1042.175879,905.3969849,793.2110553,690.0301508,605.8492462,4527.351759,0.0,0.0,0.0,-28,47943.45226,20755.73367,8539.869347,5181.346734,4232.527638,3889.758794,3644.542714,1699.673367,0,0.0,0.0,0.0,78458.51759,0.147210819,0.0,0.137360528,0.0,,,,,,,,,4917531298.832936,2828015869.1119614,,2950518779.299762,5778534648.411723,,4917531298.832936,2950518779.299762,2828015869.1119614,5778534648.411723,
,30699.05025,11481.92462,4165.507538,2161.271357,1746.316583,1412.361809,1194.713568,1037.839196,904.798995,787.9145729,691.9547739,603.2763819,4511.170854,0.006447865,0.012895731,0.0,-27,47209.21106,20431.84422,8363.522613,5134.723618,4207.773869,3805.914573,3578.18593,1687.246231,0,0.006431114,0.012862231,0.0,77908.26131,0.195668678,0.0,0.220475,0.0,,,,,,,,,4926959225.698762,2787511021.579285,,2956175535.419257,5743686556.998543,,4926959225.698762,2956175535.419257,2787511021.579285,5743686556.998543,
,30816.81407,11493.48744,4167.115578,2292.01005,1642.472362,1467.557789,1217.457286,1035.693467,905.9547739,791.2613065,690.361809,607.3567839,4506.085427,0.016990388,0.033980775,0.000534344,-26,46526.21106,20176.56784,8216.095477,5005.316583,4177.462312,3786.59799,3506.492462,1657.678392,0,0.022086061,0.044172124,0.0,77343.02513,0.214796095,1.69e-06,0.289554236,0.0,,,,,,,,,4944928577.499084,2747939739.497753,,2966957146.4994507,5714896885.997204,,4944928577.499084,2966957146.4994507,2747939739.497753,5714896885.997204,
,30927.89447,11520.66834,4169.768844,2292.567839,1741.829146,1379.422111,1263.120603,1056.020101,902.8743719,790.9145729,693.0050251,605.7236181,4511.979899,0.029740388,0.059480783,0.001701527,-25,45864.03015,19882.62312,8126.522613,4917.633166,4064.19598,3760.376884,3490.819095,1621.859296,0,0.048721358,0.097442713,4.38e-05,76791.92462,0.227264819,5.22e-05,0.354251543,7.92e-06,,,,,,,,,4966314541.198134,2709536813.6560535,,2979788724.7188807,5689325538.374934,,4966314541.198134,2979788724.7188807,2709536813.6560535,5689325538.374934,
,31040.1206,11526.86432,4189.030151,2304.276382,1742.301508,1463.070352,1186.839196,1094.371859,920.2613065,789.9698492,692.8844221,607.9045226,4522.346734,0.044337454,0.088674908,0.003408966,-24,45178.43216,19557.69347,8007.78392,4875.351759,3992.879397,3659.110553,3466.040201,1619.572864,0,0.083930516,0.167861025,0.000237123,76218.55276,0.238496538,0.000166733,0.416518528,3.2e-05,,,,,,,,,4992725383.326937,2671094116.71211,,2995635229.996162,5666729346.708272,,4992725383.326937,2995635229.996162,2671094116.71211,5666729346.708272,
,31114.84925,11500.8392,4197.984925,2315.180905,1754.638191,1465.944724,1258.899497,1028.693467,954.0251256,804.6281407,692.4824121,608.6532663,4532.879397,0.060585137,0.121170286,0.005616356,-23,44301.8191,19084.12563,7881.080402,4799.819095,3963.065327,3594.934673,3371.728643,1607.065327,0,0.125557332,0.251114749,0.00075915,75416.66834,0.253350095,0.000385308,0.451007618,7.38e-05,,,,,,,,,5020151249.390855,2626345622.825884,,3012090749.634513,5638436372.460397,,5020151249.390855,3012090749.634513,2626345622.825884,5638436372.460397,
,31144.56281,11465.1407,4185.170854,2324.296482,1758.090452,1475.256281,1258.78392,1090.160804,895.9547739,834.0301508,705.839196,609.0201005,4542.819095,0.079676374,0.159352764,0.008066281,-22,43212.9196,18424.48241,7703.366834,4733.668342,3903.60804,3570.055276,3315.366834,1562.371859,0,0.161631035,0.32326208,0.001846398,74357.48241,0.134448322,0.000864586,0.33680692,0.000211823,,,,,,,,,5042880689.175204,2582377768.80024,,3025728413.5051227,5608106182.305363,,5042880689.175204,3025728413.5051227,2582377768.80024,5608106182.305363,
,31128.59799,11377.26633,4184.929648,2319.366834,1768.884422,1478.547739,1269.532663,1090.386935,950.2361809,783.8090452,731.7889447,619.4020101,4554.447236,0.097263554,0.194527116,0.010946413,-21,42004.45729,17722.50251,7445.135678,4637.648241,3851.160804,3518.743719,3290.0,1539.266332,0,0.185493347,0.370986623,0.004115147,73133.05528,0.13090997,0.001469112,0.28330001,0.000415897,,,,,,,,,5065576725.937041,2539097199.219635,,3039346035.562225,5578443234.78186,,5065576725.937041,3039346035.562225,2539097199.219635,5578443234.78186,
,31044.11055,11247.52764,4159.160804,2319.798995,1770.291457,1488.100503,1271.959799,1101.025126,950.4522613,829.3718593,687.718593,642.0854271,4576.61809,0.117070055,0.234140181,0.014089966,-20,40723.69849,17037.67337,7173.155779,4485.005025,3780.190955,3473.266332,3246.58794,1527.819095,0,0.20375906,0.407518131,0.007885308,71767.80905,0.160759925,0.002207246,0.251858176,0.000720829,,,,,,,,,5085356375.74169,2489027799.886684,,3051213825.4450135,5540241625.331697,,5085356375.74169,3051213825.4450135,2489027799.886684,5540241625.331697,
,30817.90955,11021.66834,4118.969849,2305.854271,1767.678392,1488.015075,1279.311558,1102.180905,958.5728643,831.3417085,727.0552764,604.4472362,4612.81407,0.139626367,0.279252714,0.017164762,-19,39431.97487,16423.1809,6896.070352,4327.085427,3663.437186,3409.060302,3203.281407,1509.859296,0,0.216770648,0.433541342,0.012955821,70249.88442,0.204557553,0.003108303,0.232155779,0.001125251,,,,,,,,,5095420102.44137,2429373229.185435,,3057252061.464822,5486625290.650257,,5095420102.44137,3057252061.464822,2429373229.185435,5486625290.650257,
,30474.80905,10724.14573,4047.703518,2290.859296,1758.547739,1485.894472,1278.567839,1110.58794,959.7135678,837.5879397,728.2562814,639.5628141,4613.38191,0.164941864,0.329883779,0.020352126,-18,38163.53266,15843.34673,6666.251256,4177.095477,3536.537688,3305.135678,3146.276382,1488.889447,0,0.22417598,0.44835192,0.0189371,68638.34171,0.253173563,0.004241639,0.220039327,0.001717261,,,,,,,,,5098514210.481058,2361785049.6747007,,3059108526.288635,5420893575.963335,,5098514210.481058,3059108526.288635,2361785049.6747007,5420893575.963335,
