genome,p0_processed,p1_processed,p2_processed,p3_processed,p4_processed,p5_processed,p6_processed,p7_processed,p8_processed,p9_processed,p10_processed,p11_processed,p13_processed,p14_processed,p15_processed,p16_processed,p17_processed,p18_processed,p19_processed,p0_Y90_processed,p1_Y90_processed,p2_Y90_processed,p3_Y90_processed,p4_Y90_processed,p5_Y90_processed,p6_Y90_processed,p7_Y90_processed,p8_Y90_processed,p9_Y90_processed,p10_Y90_processed,p11_Y90_processed,p13_Y90_processed,p14_Y90_processed,p15_Y90_processed,p16_Y90_processed,p17_Y90_processed,p18_Y90_processed,p19_Y90_processed,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ants,Total_biomass,Y90_total_ants_biomass,ann_avg
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5054416.149999999,11664755.88,26045444.75,41405410.0,47352734.99,47301793.48,22250478.599999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3620011.255,9174650.08,21034158.249999996,33325971.250000004,38890068.11,39110010.72,18672851.400000002,0.0,0.0,201075033.85,201075033.85,201075033.85,163827721.065,0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5066189.345,12030422.66,27125061.875,42411133.75,49096458.839999996,49022415.46,23144041.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700319.665,9456353.200000001,21621816.375,34460058.75,40201534.03,40005495.56,19244934.240000002,0.0,0.0,207895723.55,207895723.55,207895723.55,168690511.82000002,0
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4612227.4799999995,11117623.9,25195796.625,39961006.25,46201335.96,46307821.86,21739991.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3681831.72,9436622.46,21871434.625,35382906.875,41212971.190000005,41674805.1,19836424.02,0.0,0.0,195135803.77499998,195135803.77499998,195135803.77499998,173096995.99,0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4783274.545,11313635.12,25502543.25,40316810.625,46277889.690000005,46227542.72,21890184.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544850.82,9105808.52,21096380.875,33894884.375,39774688.99,39566856.96,19405252.439999998,0.0,0.0,196311880.48999998,196311880.48999998,196311880.48999998,166388722.98000002,0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570327.44,10995350.92,24893416.5,39379007.5,45345326.07,45769041.24,21814244.339999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584512.61,9259765.9,21457708.75,34659458.75,40980990.190000005,41440588.64,20067619.740000002,0.0,0.0,192766714.01000002,192766714.01000002,192766714.01000002,171450644.57999998,0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420678.045,10768807.46,24514986.5,38896708.75,44643196.910000004,44694790.48,21303757.439999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3421836.6,8894963.24,20822746.875,33265528.125,38951929.71,39739001.92,19196838.779999997,0.0,0.0,189242925.58499998,189242925.58499998,189242925.58499998,164292845.25000003,0
0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4393460.925,10670729.84,24183860.25,38441204.375,44314557.160000004,44021107.8,21161158.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3454335.9899999998,9012051.5,21155692.5,34325463.75,39876760.63,40890221.339999996,19399345.98,0.0,0.0,187186078.97000003,187186078.97000003,187186078.97000003,168113871.69,0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4049128.545,10003773.22,22769478.125,36347504.375,41275606.059999995,41808879.54,19878613.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3098185.65,8199634.680000001,18975717.375,30495114.375,35543355.55,36635426.92,17599563.240000002,0.0,0.0,176132982.885,176132982.885,176132982.885,150546997.79,0
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4155132.065,10241550.24,23374602.25,37007393.75,42834518.38,42644775.74,20602576.259999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3358046.475,8844844.28,20803825.375,33603885.0,39299901.21,39919423.08,19774828.080000002,0.0,0.0,180860548.685,180860548.685,180860548.685,165604753.50000003,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4215475.285,10168964.16,23296733.0,36795531.25,42942002.910000004,42605049.98,20274345.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333022.84,8636447.34,20169227.375,32503446.25,38266039.22,39153874.58,18828950.7,0.0,0.0,180298102.42499998,180298102.42499998,180298102.42499998,160891008.305,0
