conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0.35,0.45,0.1,0.172337755,
0.35,0.5,0.1,0.171458651,
0.35,0.55,0.1,0.171276778,
0.35,0.6,0.1,0.170614875,
0.35,0.65,0.1,0.170470287,
0.35,0.7,0.1,0.169943403,
0.35,0.75,0.1,0.169556815,
0.35,0.8,0.1,0.168313832,
0.35,0.85,0.1,0.169230675,
0.35,0.9,0.1,0.167380314,
0.35,0.95,0.1,0.167337603,
0.35,1,0.1,0.165772155,
0.4,0,0.6,0.164743294,
0.4,0.05,0.6,0.163381145,
0.4,0.1,0.6,0.163999444,
0.4,0.15,0.6,0.164983935,
0.4,0.2,0.6,0.165284681,
0.4,0.25,0.6,0.170129274,
0.4,0.3,0.1,0.170645233,
0.4,0.35,0.1,0.175366608,
0.4,0.4,0.1,0.178898094,
0.4,0.45,0.1,0.181421082,
0.4,0.5,0.1,0.180993949,
0.4,0.55,0.1,0.184283551,
0.4,0.6,0.1,0.185390427,
0.4,0.65,0.1,0.184488271,
0.4,0.7,0.1,0.188545306,
0.4,0.75,0.1,0.186721171,
0.4,0.8,0.1,0.186653994,
0.4,0.85,0.1,0.189323177,
0.4,0.9,0.1,0.190277036,
0.4,0.95,0.1,0.188861901,
0.4,1,0.1,0.188671655,
0.45,0,0.6,0.224273054,
0.45,0.05,0.6,0.232039007,
0.45,0.1,0.6,0.232325167,
0.45,0.15,0.6,0.23152849,
0.45,0.2,0.6,0.22999758,
0.45,0.25,0.6,0.229064073,
0.45,0.3,0.1,0.225668318,
0.45,0.35,0.1,0.225509424,
0.45,0.4,0.1,0.223831361,
0.45,0.45,0.1,0.221582499,
0.45,0.5,0.1,0.219802423,
0.45,0.55,0.1,0.218788091,
0.45,0.6,0.1,0.217133108,
0.45,0.65,0.1,0.217160715,
0.45,0.7,0.1,0.216139241,
0.45,0.75,0.1,0.214505007,
0.45,0.8,0.1,0.21327698,
0.45,0.85,0.1,0.213072712,
0.45,0.9,0.1,0.212803805,
0.45,0.95,0.1,0.212885821,
0.45,1,0.1,0.211594719,
0.5,0,0.6,0.240166399,
0.5,0.05,0.6,0.23713243,
0.5,0.1,0.6,0.234373019,
0.5,0.15,0.6,0.23237024,
0.5,0.2,0.6,0.229154091,
0.5,0.25,0.6,0.228585301,
0.5,0.3,0.1,0.22761917,
0.5,0.35,0.1,0.225986307,
0.5,0.4,0.1,0.22410256,
0.5,0.45,0.1,0.223347963,
0.5,0.5,0.1,0.222864274,
0.5,0.55,0.1,0.222045425,
0.5,0.6,0.1,0.220684544,
0.5,0.65,0.1,0.219928341,
0.5,0.7,0.1,0.217894154,
0.5,0.75,0.1,0.217801652,
0.5,0.8,0.1,0.216350876,
0.5,0.85,0.1,0.217011208,
0.5,0.9,0.1,0.216710333,
0.5,0.95,0.1,0.21343823,
0.5,1,0.1,0.214414825,
0.55,0,0.6,0.304823114,
0.55,0.05,0.6,0.313124054,
0.55,0.1,0.6,0.306926179,
0.55,0.15,0.6,0.30984851,
0.55,0.2,0.6,0.307084668,
0.55,0.25,0.6,0.30475397,
0.55,0.3,0.1,0.304256264,
0.55,0.35,0.1,0.301235454,
0.55,0.4,0.1,0.299636647,
0.55,0.45,0.1,0.297386487,
0.55,0.5,0.1,0.296709712,
0.55,0.55,0.1,0.296238028,
0.55,0.6,0.1,0.294752005,
0.55,0.65,0.1,0.293289296,
0.55,0.7,0.1,0.292635429,
0.55,0.75,0.1,0.29254647,
0.55,0.8,0.1,0.290710571,
0.55,0.85,0.1,0.290081465,
0.55,0.9,0.1,0.290472984,
0.55,0.95,0.1,0.2884501,
0.55,1,0.1,0.288942296,
0.6,0,0.6,0.318780151,
0.6,0.05,0.6,0.31597615,
0.6,0.1,0.6,0.313427954,
0.6,0.15,0.6,0.310626467,
0.6,0.2,0.6,0.307959851,
0.6,0.25,0.6,0.306064113,
0.6,0.3,0.1,0.305360189,
0.6,0.35,0.1,0.302984083,
0.6,0.4,0.1,0.302815999,
0.6,0.45,0.1,0.301704154,
0.6,0.5,0.1,0.300978889,
0.6,0.55,0.1,0.300593807,
0.6,0.6,0.1,0.303732379,
0.6,0.65,0.1,0.303935593,
0.6,0.7,0.1,0.307999547,
0.6,0.75,0.1,0.309629838,
0.6,0.8,0.1,0.316980223,
0.6,0.85,0.1,0.324871991,
0.6,0.9,0.1,0.338198043,
0.6,0.95,0.1,0.307142767,
0.6,1,0.1,0.352021654,
0.65,0,0.6,0.390905298,
0.65,0.05,0.6,0.421932105,
0.65,0.1,0.6,0.399801644,
0.65,0.15,0.6,0.408309349,
0.65,0.2,0.6,0.419215074,
0.65,0.25,0.6,0.416658028,
0.65,0.3,0.1,0.425986755,
0.65,0.35,0.1,0.433379949,
0.65,0.4,0.1,0.440349254,
0.65,0.45,0.1,0.38978773,
0.65,0.5,0.1,0.38857767,
0.65,0.55,0.1,0.389617709,
0.65,0.6,0.1,0.406600276,
0.65,0.65,0.1,0.40328412,
0.65,0.7,0.1,0.40291043,
0.65,0.75,0.1,0.399707675,
0.65,0.8,0.1,0.401204795,
0.65,0.85,0.1,0.398066339,
0.65,0.9,0.1,0.39987902,
0.65,0.95,0.1,0.397289728,
0.65,1,0.1,0.394928296,
0.7,0,0.6,0.471333594,
0.7,0.05,0.6,0.469726687,
0.7,0.1,0.6,0.465765239,
0.7,0.15,0.6,0.46375439,
0.7,0.2,0.6,0.460845291,
0.7,0.25,0.6,0.461264054,
0.7,0.3,0.1,0.458860228,
0.7,0.35,0.1,0.456835234,
0.7,0.4,0.1,0.456068571,
0.7,0.45,0.1,0.455159088,
0.7,0.5,0.1,0.45485506,
0.7,0.55,0.1,0.454072386,
0.7,0.6,0.1,0.451788395,
0.7,0.65,0.1,0.451258453,
0.7,0.7,0.1,0.451977535,
0.7,0.75,0.1,0.450409867,
0.7,0.8,0.1,0.449899231,
0.7,0.85,0.1,0.448697382,
0.7,0.9,0.1,0.448265019,
0.7,0.95,0.1,0.445805962,
0.7,1,0.1,0.446858981,
0.75,0,0.6,0.559491467,
0.75,0.05,0.6,0.559658114,
0.75,0.1,0.6,0.558792187,
0.75,0.15,0.6,0.55805777,
0.75,0.2,0.6,0.552302227,
0.75,0.25,0.6,0.55779422,
0.75,0.3,0.1,0.561094173,
0.75,0.35,0.1,0.569553463,
0.75,0.4,0.1,0.579136419,
0.75,0.45,0.1,0.528371267,
0.75,0.5,0.1,0.529695516,
0.75,0.55,0.1,0.528896316,
0.75,0.6,0.1,0.527988662,
0.75,0.65,0.1,0.537134428,
0.75,0.7,0.1,0.537715037,
0.75,0.75,0.1,0.526740123,
0.75,0.8,0.1,0.550593518,
0.75,0.85,0.1,0.553932525,
0.75,0.9,0.1,0.560340498,
0.75,0.95,0.1,0.526418583,
0.75,1,0.1,0.52736103,
0.8,0,0.6,0.602708672,
0.8,0.05,0.6,0.633574919,
0.8,0.1,0.6,0.633342184,
0.8,0.15,0.6,0.63258769,
0.8,0.2,0.6,0.631801235,
0.8,0.25,0.6,0.632391575,
0.8,0.3,0.1,0.630318517,
0.8,0.35,0.1,0.631117237,
0.8,0.4,0.1,0.629054462,
0.8,0.45,0.1,0.59678561,
0.8,0.5,0.1,0.597025051,
0.8,0.55,0.1,0.600976632,
0.8,0.6,0.1,0.604796331,
0.8,0.65,0.1,0.625728177,
0.8,0.7,0.1,0.624331689,
0.8,0.75,0.1,0.625877675,
0.8,0.8,0.1,0.622763594,
0.8,0.85,0.1,0.620562217,
0.8,0.9,0.1,0.621282334,
0.8,0.95,0.1,0.623044721,
0.8,1,0.1,0.591338483,
0.85,0,0.6,0.689665876,
0.85,0.05,0.6,0.691095027,
0.85,0.1,0.6,0.717760109,
0.85,0.15,0.6,0.718121611,
0.85,0.2,0.6,0.666415415,
0.85,0.25,0.6,0.708368831,
