 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29994.80905,10700.98995,4179.487437,2228.849246,1662.723618,1399.864322,1206.301508,1046.834171,910.4321608,793.9346734,695.4170854,608.7135678,4561.261307,0.0,0.0,0.0,-29,48858.02513,21178.05025,8708.487437,5254.633166,4343.959799,3975.125628,3686.457286,1711.311558,0,0.0,0.0,0.0,78852.83417,1.0,0.0,1.0,0.0,,,,,,,,,4929800855.548196,2877978602.5920467,,2957880513.3289175,5835859115.920964,,4929800855.548196,2957880513.3289175,2877978602.5920467,5835859115.920964,
,30559.83417,11506.82915,3905.944724,2300.477387,1682.934673,1390.778894,1199.819095,1042.160804,907.4824121,791.3919598,691.160804,606.2261307,4534.628141,0.0,0.0,0.0,-28,47969.49246,20721.79899,8572.080402,5200.145729,4242.341709,3885.924623,3644.01005,1703.190955,0,0.0,0.0,0.0,78529.32663,0.063795989,0.0,0.05979616,0.0,,,,,,,,,4924189738.152993,2831143510.1324,,2954513842.8917956,5785657353.024196,,4924189738.152993,2954513842.8917956,2831143510.1324,5785657353.024196,
,30724.92462,11496.11558,4167.20603,2159.919598,1743.251256,1412.38191,1195.281407,1039.738693,905.1507538,792.4824121,689.5778894,603.6482412,4520.170854,0.002784199,0.005568399,0.0,-27,47237.16583,20450.38693,8340.59799,5152.19598,4217.919598,3812.59799,3576.537688,1686.929648,0,0.002787809,0.005575618,0.0,77962.09045,0.085102433,0.0,0.09562625,0.0,,,,,,,,,4931235697.154157,2790260044.52536,,2958741418.292494,5749001462.817854,,4931235697.154157,2958741418.292494,2790260044.52536,5749001462.817854,
,30822.88945,11500.48241,4159.442211,2295.361809,1641.256281,1465.442211,1216.180905,1036.090452,905.241206,791.0653266,692.8090452,603.9246231,4515.592965,0.007452634,0.014905266,3.65e-05,-26,46537.04523,20177.03015,8220.567839,4987.261307,4188.261307,3795.839196,3513.633166,1654.452261,0,0.009567504,0.019135004,0.0,77359.93467,0.093373295,0.0,0.125746678,0.0,,,,,,,,,4946442457.0994,2750171270.91379,,2967865474.2596397,5718036745.1734295,,4946442457.0994,2967865474.2596397,2750171270.91379,5718036745.1734295,
,30959.8593,11551.48744,4166.829146,2291.165829,1742.934673,1378.723618,1261.145729,1055.61809,902.2512563,792.3517588,693.9748744,607.9396985,4515.437186,0.01342864,0.026857281,0.000111696,-25,45890.1608,19926.70854,8105.512563,4913.045226,4046.638191,3770.19598,3497.839196,1630.221106,0,0.021217445,0.042434893,3.83e-06,76850.0201,0.099335662,3.39e-06,0.154166352,7.71e-07,,,,,,,,,4968298635.926436,2710895973.432557,,2980979181.555862,5691875154.988419,,4968298635.926436,2980979181.555862,2710895973.432557,5691875154.988419,
,31132.82412,11613.65327,4199.417085,2298.170854,1738.994975,1462.065327,1186.864322,1092.502513,919.6934673,787.839196,695.5728643,610.2663317,4527.78392,0.020579697,0.0411594,0.00025527,-24,45240.96985,19628.35176,8024.688442,4853.462312,3993.326633,3643.160804,3474.552764,1623.427136,0,0.036953485,0.073906973,2.34e-05,76373.79397,0.105254769,1.26e-05,0.182284879,4.11e-06,,,,,,,,,4994880475.526384,2670269143.0370407,,2996928285.3158307,5667197428.352871,,4994880475.526384,2996928285.3158307,2670269143.0370407,5667197428.352871,
,31307.18593,11657.43216,4225.336683,2321.929648,1748.452261,1461.58794,1259.60804,1029.718593,953.6934673,803.6984925,691.5125628,611.8743719,4542.341709,0.029181733,0.058363477,0.00046262,-23,44556.61809,19325.20603,7907.371859,4813.959799,3945.60804,3595.969849,3357.773869,1610.728643,0,0.056150956,0.112301905,6.66e-05,75863.80402,0.11372805,3e-05,0.198821161,8.17e-06,,,,,,,,,5026758632.84852,2626583240.768161,,3016055179.709112,5642638420.477273,,5026758632.84852,3016055179.709112,2626583240.768161,5642638420.477273,
,31464.82412,11694.41206,4241.281407,2340.592965,1766.98995,1468.331658,1259.547739,1093.145729,895.7286432,834.1055276,705.8190955,607.5226131,4557.346734,0.039931723,0.079863445,0.000728077,-22,43816.61307,18921.11055,7794.175879,4754.030151,3919.854271,3554.442211,3318.386935,1554.613065,0,0.073774575,0.147549151,0.000175941,75281.43719,0.062927669,7.42e-05,0.149470216,2.22e-05,,,,,,,,,5058299537.63814,2589722194.66134,,3034979722.582884,5624701917.244225,,5058299537.63814,3034979722.582884,2589722194.66134,5624701917.244225,
,31665.57286,11755.86432,4274.286432,2352.557789,1782.155779,1486.974874,1263.015075,1091.768844,954.2462312,783.6733668,730.9547739,620.9748744,4569.100503,0.051189532,0.102379073,0.001078472,-21,43109.67337,18556.73869,7648.683417,4685.231156,3870.758794,3531.321608,3276.688442,1540.251256,0,0.086632363,0.173264734,0.00035945,74775.24623,0.064078973,0.000105926,0.127641206,4.44e-05,,,,,,,,,5093105931.249437,2558242401.3097644,,3055863558.7496624,5614105960.059427,,5093105931.249437,3055863558.7496624,2558242401.3097644,5614105960.059427,
,31797.86432,11772.04523,4287.683417,2365.281407,1794.261307,1498.899497,1279.030151,1095.246231,951.5477387,835.0301508,687.4673367,642.1005025,4589.271357,0.06489139,0.129782794,0.001464323,-20,42405.68844,18225.03518,7498.01005,4601.371859,3813.934673,3490.271357,3256.336683,1520.728643,0,0.097493795,0.194987568,0.000647607,74203.55276,0.081858024,0.000201518,0.116894698,7.48e-05,,,,,,,,,5124993857.83661,2524736249.5485682,,3074996314.701966,5599732564.250534,,5124993857.83661,3074996314.701966,2524736249.5485682,5599732564.250534,
,31907.75879,11768.25126,4299.969849,2381.41206,1803.170854,1508.035176,1291.125628,1109.306533,954.8090452,832.8040201,731.8040201,603.2160804,4623.854271,0.081515522,0.163031065,0.001968739,-19,41684.34171,17890.61307,7366.040201,4515.140704,3746.733668,3435.78392,3219.271357,1510.758794,0,0.106299558,0.212599176,0.001047283,73592.1005,0.107275738,0.00029542,0.113171995,0.000130126,,,,,,,,,5155737543.879594,2487046138.373426,,3093442526.3277564,5580488664.701182,,5155737543.879594,3093442526.3277564,2487046138.373426,5580488664.701182,
,31933.82915,11692.97487,4305.934673,2386.19598,1815.864322,1515.859296,1299.341709,1118.824121,966.879397,834.1055276,729.201005,643.879397,4624.768844,0.10095198,0.20190396,0.002535452,-18,40921.58794,17530.79899,7232.537688,4439.60804,3680.331658,3376.648241,3169.226131,1492.437186,0,0.112795608,0.225591221,0.001468191,72855.41709,0.136364749,0.000423442,0.114814628,0.000196183,,,,,,,,,5184735174.432705,2445685939.8437457,,3110841104.6596227,5556527044.503368,,5184735174.432705,3110841104.6596227,2445685939.8437457,5556527044.503368,
