 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29985.45729,10696.55779,4176.733668,2228.81407,1664.477387,1399.432161,1205.798995,1046.371859,910.281407,794.9899497,695.1407035,607.638191,4559.221106,0.0,0.0,0.0,-29,48824.31156,21163.93467,8690.648241,5251.819095,4343.894472,3975.778894,3684.18593,1714.050251,0,0.0,0.0,0.0,78809.76884,1.0,0.0,1.0,0.0,,,,,,,,,4928692988.275576,2877312687.353651,,2957215792.9653454,5834528480.318996,,4928692988.275576,2957215792.9653454,2877312687.353651,5834528480.318996,
,30541.45729,11498.70854,3899.723618,2298.663317,1683.386935,1392.648241,1199.221106,1041.552764,906.6030151,790.8190955,692.4522613,606.0452261,4531.633166,0.0,0.0,0.0,-28,47954.82915,20716.74372,8571.452261,5192.080402,4241.015075,3886.477387,3646.251256,1700.809045,0,0.0,0.0,0.0,78496.28643,0.121335658,0.0,0.113165643,0.0,,,,,,,,,4922575819.047102,2830382370.3336906,,2953545491.4282613,5783927861.761951,,4922575819.047102,2953545491.4282613,2830382370.3336906,5783927861.761951,
,30725.02513,11495.27136,4162.502513,2158.788945,1746.396985,1415.175879,1197.030151,1040.115578,904.8894472,789.6934673,690.6331658,604.6482412,4519.879397,0.005323527,0.010647054,0.0,-27,47206.20603,20438.75377,8330.005025,5147.376884,4214.648241,3810.934673,3575.81407,1688.673367,0,0.005275495,0.010550989,0.0,77931.23116,0.160295749,0.0,0.181211317,0.0,,,,,,,,,4932702705.834228,2789009618.772909,,2959621623.5005364,5748631242.273445,,4932702705.834228,2959621623.5005364,2789009618.772909,5748631242.273445,
,30839.59296,11514.0,4157.688442,2291.482412,1642.296482,1466.160804,1218.834171,1038.41206,905.5226131,791.2311558,691.1105528,604.9949749,4517.859296,0.014135454,0.028270911,6.85e-05,-26,46514.05528,20168.55779,8215.643216,4984.698492,4181.944724,3793.160804,3511.472362,1658.577889,0,0.018153551,0.036307099,0.0,77353.64824,0.176986256,0.0,0.238163819,0.0,,,,,,,,,4948871217.506439,2748904191.536922,,2969322730.5038633,5718226922.040785,,4948871217.506439,2969322730.5038633,2748904191.536922,5718226922.040785,
,30953.84925,11543.47236,4172.100503,2284.407035,1740.110553,1378.522613,1260.532663,1057.613065,904.5226131,791.2763819,692.8140704,605.7487437,4522.728643,0.025387808,0.050775613,0.000228112,-25,45859.07035,19894.15075,8116.251256,4914.708543,4046.61809,3764.668342,3495.492462,1627.180905,0,0.040084059,0.080168124,5.7e-06,76812.9196,0.187346593,3.37e-06,0.291529834,1.36e-06,,,,,,,,,4968924167.2886305,2709275979.373585,,2981354500.373178,5690630479.746763,,4968924167.2886305,2981354500.373178,2709275979.373585,5690630479.746763,
,31085.56784,11565.71357,4194.572864,2299.321608,1736.321608,1464.78392,1184.120603,1093.055276,921.4522613,791.0100503,693.3366834,609.0452261,4532.834171,0.038598653,0.077197299,0.000493539,-24,45168.34673,19572.1809,8010.256281,4858.386935,3993.110553,3641.512563,3470.683417,1622.21608,0,0.069388807,0.138777588,3.07e-05,76253.91457,0.197714889,2.1e-05,0.343658688,5.7e-06,,,,,,,,,4995579271.635173,2668582252.0080643,,2997347562.9811034,5665929814.989168,,4995579271.635173,2997347562.9811034,2668582252.0080643,5665929814.989168,
,31217.47236,11587.37688,4209.994975,2317.768844,1748.221106,1457.964824,1259.351759,1027.140704,953.6834171,805.8693467,694.0753769,609.3065327,4546.718593,0.053957242,0.107914448,0.000854902,-23,44383.04523,19176.72864,7890.336683,4806.613065,3948.482412,3593.613065,3356.035176,1611.236181,0,0.104468121,0.208936327,0.000108079,75600.51759,0.212376729,5.25e-05,0.37340194,1.42e-05,,,,,,,,,5024102150.105242,2624020170.119497,,3014461290.063145,5638481460.182642,,5024102150.105242,3014461290.063145,2624020170.119497,5638481460.182642,
,31316.64322,11584.22613,4222.974874,2327.155779,1763.58794,1467.733668,1254.819095,1093.884422,895.5577889,835.7638191,706.6733668,609.6331658,4554.633166,0.072334785,0.144669558,0.001298874,-22,43396.67337,18585.22111,7739.512563,4735.326633,3910.105528,3557.703518,3312.81407,1555.98995,0,0.135391809,0.270783643,0.000252979,74713.31658,0.117007407,0.000121841,0.280835101,3.82e-05,,,,,,,,,5051557987.935357,2582378657.603709,,3030934792.7612143,5613313450.3649235,,5051557987.935357,3030934792.7612143,2582378657.603709,5613313450.3649235,
,31372.76884,11540.58794,4233.482412,2340.231156,1771.085427,1481.839196,1262.015075,1088.678392,954.1457286,783.1055276,733.0351759,621.4120603,4563.150754,0.090852795,0.181705613,0.001907012,-21,42388.19095,18025.50754,7509.376884,4658.567839,3854.20603,3522.472362,3282.316583,1535.743719,0,0.156958392,0.313916719,0.000565571,73760.9598,0.118711477,0.000222429,0.239485809,6.86e-05,,,,,,,,,5077990228.875626,2544272739.5451345,,3046794137.325375,5591066876.87051,,5077990228.875626,3046794137.325375,2544272739.5451345,5591066876.87051,
,31369.32663,11463.13568,4214.020101,2348.713568,1785.40201,1489.301508,1275.80402,1094.758794,949.6733668,834.4472362,687.6633166,643.9949749,4582.41206,0.111997593,0.223995261,0.002539838,-20,41334.00503,17472.42211,7290.849246,4526.899497,3799.070352,3475.095477,3248.98995,1520.678392,0,0.174529724,0.349059427,0.001047744,72703.33166,0.149665834,0.000353922,0.217869935,0.000123594,,,,,,,,,5103942299.148951,2501187301.4488993,,3062365379.4893703,5563552680.93827,,5103942299.148951,3062365379.4893703,2501187301.4488993,5563552680.93827,
