 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29981.9486,10696.63084,4175.261682,2226.82243,1663.252336,1400.490654,1206.462617,1045.733645,911.2570093,794.2476636,694.6448598,608.3785047,4558.766355,0.0,0.0,0.0,-29,48833.26168,21174.38318,8687.672897,5252.864486,4345.616822,3976.051402,3685.163551,1711.509346,0,0.0,0.0,0.0,78815.21028,1.0,0.0,1.0,0.0,,,,,,,,,4928353288.36757,2877386428.480336,,2957011973.0205417,5834398401.500877,,4928353288.36757,2957011973.0205417,2877386428.480336,5834398401.500877,
,30539.45794,11504.99533,3905.457944,2293.53271,1681.803738,1389.490654,1201.771028,1041.864486,905.8691589,790.6401869,691.6074766,604.0514019,4528.373832,0.0,0.0,0.0,-28,47952.85047,20719.67757,8564.32243,5192.074766,4238.845794,3889.560748,3647.32243,1701.046729,0,0.0,0.0,0.0,78492.30841,0.04842774,0.0,0.045431397,0.0,,,,,,,,,4919466987.751316,2830626782.3544655,,2951680192.6507897,5782306975.005255,,4919466987.751316,2951680192.6507897,2830626782.3544655,5782306975.005255,
,30695.56075,11472.29907,4165.079439,2163.448598,1743.060748,1412.981308,1192.82243,1041.364486,907.7850467,788.7476636,689.7943925,604.3224299,4513.85514,0.002109203,0.004218406,0.0,-27,47225.64486,20437.21028,8348.257009,5150.214953,4211.28972,3810.200935,3579.485981,1688.985981,0,0.002127417,0.004254834,0.0,77921.20561,0.064376871,0.0,0.072850829,0.0,,,,,,,,,4928853181.573289,2789856584.213821,,2957311908.943973,5747168493.157794,,4928853181.573289,2957311908.943973,2789856584.213821,5747168493.157794,
,30805.71963,11495.83178,4157.140187,2287.766355,1646.369159,1465.037383,1217.037383,1034.060748,906.2149533,792.6775701,689.8691589,604.7616822,4508.953271,0.00542042,0.010840839,0.000136222,-26,46531.83645,20168.04206,8221.929907,4998.556075,4184.841121,3791.046729,3510.537383,1656.883178,0,0.007321833,0.014643665,0.0,77337.55607,0.070703987,1.18e-06,0.095581652,0.0,,,,,,,,,4943774664.6053,2749682400.864184,,2966264798.76318,5715947199.627363,,4943774664.6053,2966264798.76318,2749682400.864184,5715947199.627363,
,30936.99065,11532.96262,4170.827103,2291.448598,1737.088785,1382.565421,1261.373832,1056.700935,901.8598131,792.2943925,694.3738318,604.9299065,4510.565421,0.00924441,0.018488817,0.000449221,-25,45889.85981,19912.49533,8114.799065,4916.939252,4056.088785,3767.233645,3491.785047,1630.518692,0,0.016191428,0.032382854,1.95e-05,76826.85047,0.074874339,1.29e-05,0.117035276,4.14e-06,,,,,,,,,4965714157.562918,2711087354.493285,,2979428494.5377507,5690515849.031036,,4965714157.562918,2979428494.5377507,2711087354.493285,5690515849.031036,
,31085.49533,11576.32243,4192.341121,2296.574766,1743.172897,1459.439252,1191.158879,1094.38785,920.3317757,788.5327103,693.9953271,609.4953271,4519.742991,0.013352372,0.026704749,0.000881789,-24,45274.31776,19645.06542,8028.285047,4865.369159,3994.537383,3651.046729,3471.738318,1618.275701,0,0.028100808,0.056201616,9.81e-05,76359.81308,0.078613697,4.17e-05,0.13802921,1.2e-05,,,,,,,,,4992779083.430723,2671424183.475002,,2995667450.058434,5667091633.533436,,4992779083.430723,2995667450.058434,2671424183.475002,5667091633.533436,
,31260.15888,11631.51402,4213.542056,2317.85514,1745.542056,1467.023364,1256.476636,1033.96729,954.2383178,805.8971963,692.2149533,610.4299065,4531.457944,0.017960893,0.03592178,0.001432612,-23,44582.24299,19320.32243,7914.35514,4819.196262,3954.345794,3598.126168,3363.686916,1612.21028,0,0.042450476,0.084900947,0.000328959,75842.40187,0.083140159,0.000102416,0.149826075,3.02e-05,,,,,,,,,5023354422.923468,2629772960.194186,,3014012653.7540803,5643785613.948267,,5023354422.923468,3014012653.7540803,2629772960.194186,5643785613.948267,
,31412.47196,11661.82243,4236.747664,2332.831776,1763.668224,1466.873832,1262.336449,1090.616822,900.9299065,836.2196262,706.8831776,607.9345794,4545.607477,0.023336662,0.046673327,0.002063693,-22,43850.99533,18940.1729,7790.182243,4758.635514,3918.897196,3563.341121,3317.747664,1562.018692,0,0.055336712,0.110673397,0.00077852,75263.46729,0.040317271,0.000215212,0.109846911,6.91e-05,,,,,,,,,5054109679.234751,2592513888.334144,,3032465807.54085,5624979695.874994,,5054109679.234751,3032465807.54085,2592513888.334144,5624979695.874994,
,31562.54673,11693.21028,4254.224299,2346.271028,1778.799065,1483.35514,1262.892523,1094.359813,950.0934579,788.8457944,732.9205607,621.8551402,4555.719626,0.027888297,0.0557766,0.002858406,-21,43108.52804,18548.67757,7647.11215,4687.158879,3872.004673,3531.5,3284.640187,1537.434579,0,0.064238739,0.128477477,0.001574492,74671.07477,0.036334828,0.000389969,0.089873877,0.000130023,,,,,,,,,5085557480.079088,2559288991.571372,,3051334488.047453,5610623479.618825,,5085557480.079088,3051334488.047453,2559288991.571372,5610623479.618825,
,31723.23364,11740.76636,4271.271028,2359.443925,1785.476636,1495.925234,1277.285047,1097.593458,954.5186916,831.6121495,692.3037383,643.635514,4573.401869,0.033292516,0.066585035,0.003727119,-20,42369.51869,18172.8972,7496.742991,4610.196262,3818.420561,3489.588785,3256.981308,1524.691589,0,0.070907063,0.141814126,0.002843598,74092.75234,0.043379407,0.000607831,0.076973718,0.000221336,,,,,,,,,5116360620.743958,2526104120.900105,,3069816372.446375,5595920493.346479,,5116360620.743958,3069816372.446375,2526104120.900105,5595920493.346479,
,31878.08411,11768.45327,4292.317757,2375.757009,1802.004673,1502.766355,1288.67757,1106.929907,956.9859813,833.8317757,729.8364486,609.453271,4611.070093,0.040039604,0.080079206,0.00456757,-19,41576.3972,17793.49533,7344.817757,4513.934579,3755.364486,3438.738318,3220.747664,1509.299065,0,0.074970729,0.149941463,0.004445795,73454.48131,0.054678151,0.000844341,0.067733253,0.000353814,,,,,,,,,5149137398.660861,2487008127.5976415,,3089482439.1965165,5576490566.794158,,5149137398.660861,3089482439.1965165,2487008127.5976415,5576490566.794158,
,31989.29439,11763.81308,4309.373832,2385.121495,1811.252336,1515.196262,1294.214953,1117.757009,966.3037383,837.2242991,731.4345794,642.3084112,4615.294393,0.048290156,0.096580319,0.005592918,-18,40764.91589,17406.56075,7194.761682,4427.845794,3678.172897,3387.023364,3173.191589,1497.359813,0,0.076653297,0.153306598,0.006168384,72754.21028,0.067827667,0.001183657,0.061110385,0.000562847,,,,,,,,,5180501740.943047,2445452157.3463726,,3108301044.565828,5553753201.912201,,5180501740.943047,3108301044.565828,2445452157.3463726,5553753201.912201,
,32088.13084,11766.28037,4307.079439,2395.495327,1820.616822,1524.579439,1305.640187,1122.873832,975.2476636,845.6542056,734.6074766,642.6214953,4647.434579,0.057767482,0.115534977,0.006896058,-17,39942.1028,17027.47196,7049.481308,4340.584112,3611.96729,3317.528037,3125.023364,1470.046729,0,0.076045721,0.152091444,0.007898499,72030.23364,0.080373952,0.001719968,0.065107682,0.000830356,,,,,,,,,5210681520.965003,2399942202.4566197,,3126408912.579002,5526351115.035622,,5210681520.965003,3126408912.579002,2399942202.4566197,5526351115.035622,
,32181.90654,11750.64953,4321.883178,2401.864486,1829.831776,1533.864486,1313.341121,1133.154206,978.7757009,852.7009346,741.8037383,645.5046729,4678.53271,0.067521175,0.135042332,0.008396468,-16,39117.13551,16642.85514,6896.850467,4259.920561,3543.990654,3259.570093,3063.668224,1450.280374,0,0.076142956,0.152285916,0.009337615,71299.04206,0.091779995,0.002322084,0.077792057,0.001199899,,,,,,,,,5240961069.1031,2355305604.068355,,3144576641.4618597,5499882245.530214,,5240961069.1031,3144576641.4618597,2355305604.068355,5499882245.530214,
,32246.16822,11724.01869,4318.294393,2412.341121,1835.859813,1542.037383,1321.168224,1138.528037,987.8504673,855.7897196,748.0420561,652.9205607,4709.317757,0.07732245,0.154644921,0.0102392,-15,38337.8271,16294.02336,6753.850467,4172.892523,3484.546729,3198.962617,3011.172897,1422.378505,0,0.078228341,0.156456682,0.010405152,70583.99533,0.100872383,0.003090015,0.089253583,0.001717571,,,,,,,,,5269475518.660928,2311550843.618824,,3161685311.1965566,5473236154.81538,,5269475518.660928,3161685311.1965566,2311550843.618824,5473236154.81538,
,32274.9486,11671.61682,4318.635514,2409.425234,1844.728972,1544.635514,1329.28972,1147.766355,993.1962617,864.0514019,751.271028,658.1542056,4742.17757,0.086573423,0.17314685,0.012144599,-14,37594.08411,15967.08411,6611.696262,4100.85514,3414.004673,3148.920561,2952.948598,1398.574766,0,0.080850611,0.161701224,0.011154842,69869.03271,0.108620638,0.003954989,0.098899652,0.002341922,,,,,,,,,5295624144.330498,2269101575.740945,,3177374486.5982985,5446476062.339243,,5295624144.330498,3177374486.5982985,2269101575.740945,5446476062.339243,
