 ,Poly_size,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,poly_rate_dr,poly_carrier,poly_r2,gen,mono_size,p13,p14,p15,p16,p17,p18,p19,p20,mono_rate_dr,mono_carrier,mono_r2,total,poly_mate_dr,poly_mate_r2,mono_mate_dr,mono_mate_r2,p40,p41,p42,p43,p44,p45,p46,p47,Poly_total_ants,Mono_total_ants,Native_total_ants,Poly_ant_biomass,Total_ants,Native,Poly_total_ants,Poly_ant_biomass,Mono_total_ants,Total_ant_biomass,Native_ant_biomss
,29957.75879,10676.25126,4176.562814,2225.743719,1661.688442,1400.356784,1207.251256,1046.336683,909.8492462,793.7085427,695.2060302,608.3919598,4556.41206,0.0,0.0,0.0,-29,48823.76382,21160.30653,8691.517588,5254.241206,4343.311558,3976.884422,3686.025126,1711.477387,0,0.0,0.0,0.0,78781.52261,1.0,0.0,1.0,0.0,,,,,,,,,4926673705.114902,2877450087.926826,,2956004223.0689406,5833454310.995767,,4926673705.114902,2956004223.0689406,2877450087.926826,5833454310.995767,
,30516.70352,11491.62814,3890.874372,2298.281407,1680.39196,1390.150754,1199.894472,1043.050251,906.3266332,789.7688442,691.6130653,605.6582915,4529.065327,0.0,0.0,0.0,-28,47996.26633,20756.05528,8567.809045,5194.572864,4239.638191,3886.743719,3647.165829,1704.281407,0,0.0,0.0,0.0,78512.96985,0.146923704,0.0,0.137694151,0.0,,,,,,,,,4919352433.709321,2831417737.302309,,2951611460.2255926,5783029197.527902,,4919352433.709321,2951611460.2255926,2831417737.302309,5783029197.527902,
,30681.09548,11471.14573,4160.301508,2153.311558,1746.592965,1411.758794,1194.135678,1038.552764,906.4974874,790.0854271,689.321608,603.1507538,4516.241206,0.006387545,0.012775088,0.0,-27,47243.25628,20436.70854,8364.949749,5150.175879,4220.125628,3812.748744,3575.834171,1682.713568,0,0.006443712,0.012887426,0.0,77924.35176,0.195211638,0.0,0.220759729,0.0,,,,,,,,,4927339735.313755,2790162300.569129,,2956403841.188253,5746566141.757381,,4927339735.313755,2956403841.188253,2790162300.569129,5746566141.757381,
,30790.53266,11484.42714,4162.125628,2289.135678,1637.130653,1466.623116,1214.190955,1034.80402,903.8291457,791.3165829,691.2562814,604.0452261,4511.648241,0.016372654,0.032745308,0.000432547,-26,46569.29648,20176.47236,8220.623116,5011.150754,4187.281407,3801.532663,3513.959799,1658.276382,0,0.022160575,0.044321137,0.0,77359.82915,0.214325905,1.69e-06,0.289386598,0.0,,,,,,,,,4941425499.897644,2753364230.0961394,,2964855299.938586,5718219530.034725,,4941425499.897644,2964855299.938586,2753364230.0961394,5718219530.034725,
,30859.60804,11469.54271,4164.180905,2291.964824,1738.61809,1374.045226,1263.321608,1053.266332,900.6532663,789.6482412,692.4623116,606.798995,4515.105528,0.02788483,0.055769663,0.0013456,-25,45933.45729,19935.19598,8105.959799,4920.537688,4065.974874,3769.567839,3503.854271,1632.366834,0,0.048695886,0.097391767,3.6e-05,76793.06533,0.225401668,3.96e-05,0.353494136,7.92e-06,,,,,,,,,4961722869.09263,2715200540.9400005,,2977033721.4555783,5692234262.395578,,4961722869.09263,2977033721.4555783,2715200540.9400005,5692234262.395578,
,30905.78392,11438.40201,4164.994975,2292.914573,1741.18593,1460.864322,1182.211055,1095.909548,916.9145729,786.2261307,693.3969849,607.9246231,4524.839196,0.040025441,0.080050888,0.002668346,-24,45219.8794,19578.84925,8023.19598,4863.763819,3992.39196,3660.899497,3475.01005,1625.768844,0,0.083893757,0.167787497,0.000198099,76125.66332,0.234700246,0.000148405,0.415300583,2.49e-05,,,,,,,,,4984750175.907846,2673630395.6491966,,2990850105.544708,5664480501.193905,,4984750175.907846,2990850105.544708,2673630395.6491966,5664480501.193905,
,30917.25126,11388.0603,4156.844221,2296.236181,1743.070352,1463.78392,1255.170854,1025.58794,953.9396985,801.1507538,688.4472362,609.9045226,4535.055276,0.053103455,0.106206919,0.004241285,-23,44314.23116,19064.48744,7899.130653,4814.728643,3954.869347,3592.613065,3373.758794,1614.643216,0,0.125239166,0.250478327,0.000619802,75231.48241,0.246595533,0.000313033,0.448272095,6.26e-05,,,,,,,,,5005752986.270745,2628009146.875394,,3003451791.762447,5631460938.63784,,5005752986.270745,3003451791.762447,2628009146.875394,5631460938.63784,
,30903.05528,11308.16583,4149.346734,2300.59799,1747.507538,1464.572864,1260.100503,1088.733668,893.1809045,834.5778894,702.6080402,604.9045226,4548.758794,0.067767537,0.13553507,0.006004831,-22,43103.20101,18310.1005,7697.140704,4744.432161,3913.79397,3563.522613,3313.085427,1561.125628,0,0.160732874,0.321465764,0.001501541,74006.25628,0.120977638,0.000732094,0.329487176,0.00017633,,,,,,,,,5027335298.344612,2581628889.5309587,,3016401179.0067673,5598030068.537725,,5027335298.344612,3016401179.0067673,2581628889.5309587,5598030068.537725,
,30868.67337,11230.86432,4136.020101,2297.396985,1751.949749,1467.58794,1260.331658,1091.497487,948.5025126,781.0502513,731.1155779,618.879397,4553.477387,0.079693797,0.159387558,0.008117357,-21,41752.58794,17496.0,7408.809045,4631.547739,3865.773869,3527.954774,3285.859296,1536.643216,0,0.182995452,0.365990995,0.003392649,72621.26131,0.109218481,0.001153348,0.270545327,0.000327532,,,,,,,,,5044395701.927593,2537696633.150626,,3026637421.1565557,5564334054.307182,,5044395701.927593,3026637421.1565557,2537696633.150626,5564334054.307182,
,30768.72362,11113.80402,4108.165829,2292.547739,1749.452261,1472.547739,1263.155779,1091.58794,949.6733668,828.7537688,684.2110553,643.3015075,4571.522613,0.093090529,0.186181111,0.010208593,-20,40239.30653,16653.67839,7083.577889,4465.974874,3775.939698,3484.060302,3254.909548,1521.165829,0,0.199129789,0.398259568,0.006562743,71008.03015,0.130156332,0.001677893,0.232102337,0.00055484,,,,,,,,,5056967500.077585,2483018937.06641,,3034180500.046551,5517199437.112961,,5056967500.077585,3034180500.046551,2483018937.06641,5517199437.112961,
